336 13,10946
336,003 -12,79059
336,006 5,542875
336,009 -14,35645
336,012 -20,56424
336,015 3,105392
336,018 15,06544
336,021 7,661004
336,024 10,00356
336,027 -5,554298
336,03 11,0259
336,033 13,55497
336,036 7,098353
336,039 11,51235
336,0421 11,93029
336,045 -5,053411
336,048 0,7418882
336,0511 8,419662
336,054 7,012954
336,0571 0,8678907
336,0601 1,322677
336,063 -6,591754
336,0661 12,2431
336,0691 5,239728
336,0721 -7,052574
336,0751 17,91699
336,0781 -7,332274
336,0811 3,201608
336,0841 13,72241
336,0871 14,3008
336,0901 -5,67283
336,0931 34,40287
336,0961 -2,957999
336,0991 21,16036
336,1021 17,26006
336,1051 4,12077
336,1081 15,34992
336,1111 3,68768
336,1141 7,764738
336,1171 14,33911
336,1201 11,03991
336,1231 21,59896
336,1261 -3,888948
336,1291 29,47786
336,1321 9,244536
336,1351 19,4565
336,1382 0,5971949
336,1411 25,45459
336,1441 0,4720763
336,1472 28,64983
336,1501 12,37327
336,1532 14,22574
336,1562 33,18348
336,1591 0,2838259
336,1622 40,15265
336,1652 10,10459
336,1682 8,266849
336,1712 32,41334
336,1742 17,33731
336,1772 31,49621
336,1802 15,69382
336,1832 29,28802
336,1862 27,85501
336,1892 4,395457
336,1922 31,75391
336,1952 29,35738
336,1982 37,60635
336,2012 29,71043
336,2042 27,34888
336,2072 35,63302
336,2102 15,53135
336,2132 18,38021
336,2162 33,46832
336,2192 26,52669
336,2222 21,19591
336,2252 34,37436
336,2282 36,78815
336,2312 29,14292
336,2342 33,51723
336,2372 35,11294
336,2402 53,72878
336,2433 37,64027
336,2462 27,17159
336,2492 29,94839
336,2523 34,65886
336,2552 40,5942
336,2583 39,57854
336,2613 31,71814
336,2643 30,67181
336,2673 44,59382
336,2703 24,99679
336,2733 18,162
336,2763 47,45575
336,2793 47,15398
336,2823 56,48098
336,2853 56,3871
336,2883 35,23802
336,2913 53,50076
336,2943 50,70459
336,2973 67,34885
336,3003 70,12409
336,3033 71,35076
336,3063 51,43663
336,3093 62,21684
336,3123 36,52978
336,3153 47,23331
336,3183 59,15864
336,3213 61,03806
336,3243 36,75865
336,3273 29,53346
336,3303 52,75754
336,3333 48,73454
336,3363 52,94213
336,3393 74,25394
336,3423 59,63544
336,3453 62,37186
336,3484 55,26764
336,3513 76,14806
336,3543 72,26124
336,3574 65,06535
336,3604 48,1786
336,3634 76,47855
336,3664 51,22359
336,3694 72,64265
336,3724 71,75116
336,3754 70,58742
336,3784 61,693
336,3814 57,48589
336,3844 70,07358
336,3874 82,85824
336,3904 72,8307
336,3934 75,23217
336,3964 87,31008
336,3994 58,45755
336,4024 65,02892
336,4054 76,09686
336,4084 96,98093
336,4114 82,35716
336,4144 78,95222
336,4174 90,21275
336,4204 84,30032
336,4234 68,61788
336,4264 79,36939
336,4294 77,63704
336,4324 103,6037
336,4354 95,33212
336,4384 94,15837
336,4414 102,5627
336,4445 103,3688
336,4474 122,4681
336,4504 99,03764
336,4535 109,5052
336,4565 92,46564
336,4595 102,9187
336,4625 87,76925
336,4655 94,98899
336,4685 112,439
336,4715 103,7197
336,4745 98,52827
336,4775 109,0063
336,4805 121,1301
336,4835 114,0802
336,4865 116,4093
336,4895 117,0184
336,4925 105,2524
336,4955 114,6258
336,4985 136,9802
336,5015 111,5279
336,5045 109,6398
336,5075 125,8503
336,5105 130,7243
336,5135 119,337
336,5165 140,3354
336,5195 145,6739
336,5225 120,1257
336,5255 142,3625
336,5285 136,5
336,5315 141,3086
336,5345 135,7933
336,5375 128,8943
336,5405 144,4207
336,5435 155,2505
336,5465 152,1173
336,5496 165,8853
336,5526 161,3131
336,5555 149,3187
336,5586 159,599
336,5616 175,7032
336,5646 171,8907
336,5676 142,3178
336,5706 157,0249
336,5736 159,9979
336,5766 171,6165
336,5796 162,979
336,5826 168,5753
336,5856 162,5879
336,5886 171,6465
336,5916 192,1187
336,5946 167,2859
336,5976 196,8608
336,6006 184,4884
336,6036 163,7503
336,6066 212,1842
