
335 11,6774
335,006 18,71005
335,012 18,91314
335,018 15,18721
335,024 15,50886
335,03 20,26076
335,036 24,697
335,0421 29,12703
335,048 36,31977
335,054 44,56208
335,0601 51,81816
335,0661 60,27754
335,0721 70,49174
335,0781 78,72652
335,0841 84,07877
335,0901 89,51984
335,0961 94,93892
335,1021 97,91342
335,1081 99,89304
335,1141 105,5724
335,1201 117,7218
335,1261 135,1551
335,1321 154,593
335,1382 171,4565
335,1441 181,4217
335,1501 186,1143
335,1562 192,0461
335,1622 201,3096
335,1682 210,2017
335,1742 216,4414
335,1802 223,085
335,1862 234,9056
335,1922 250,4168
335,1982 262,2865
335,2042 269,9118
335,2102 282,2487
335,2162 302,1873
335,2222 320,4503
335,2282 330,4207
335,2342 335,3262
335,2402 340,2303
335,2462 348,8673
335,2523 362,8527
335,2583 378,8152
335,2643 393,4344
335,2703 408,4198
335,2763 425,7624
335,2823 444,3055
335,2883 462,719
335,2943 480,1951
335,3003 495,8006
335,3063 510,5011
335,3123 524,2115
335,3183 533,5283
335,3243 539,0323
335,3303 545,655
335,3363 554,8776
335,3423 566,1552
335,3484 580,4691
335,3543 597,939
335,3604 617,0943
335,3664 636,3636
335,3724 655,1293
335,3784 673,2599
335,3844 689,437
335,3904 703,1586
335,3964 717,1582
335,4024 733,3591
335,4084 749,7891
335,4144 765,204
335,4204 781,6588
335,4264 800,0751
335,4324 818,2866
335,4384 833,9771
335,4445 847,4634
335,4504 862,3207
335,4565 881,1531
335,4625 901,0544
335,4685 918,067
335,4745 933,2018
335,4805 949,9128
335,4865 970,2285
335,4925 992,9612
335,4985 1012,598
335,5045 1025,382
335,5105 1035,585
335,5165 1049,677
335,5225 1069,077
335,5285 1092,194
335,5345 1118,023
335,5405 1145,354
335,5465 1171,349
335,5526 1193,822
335,5586 1213,903
335,5646 1233,465
335,5706 1253,035
335,5766 1273,366
335,5826 1294,344
335,5886 1315,281
335,5946 1338,594
335,6006 1366,27
335,6066 1394,313
335,6126 1418,526
335,6186 1441,102
335,6246 1464,954
335,6306 1488,653
335,6366 1510,895
335,6426 1532,247
335,6487 1553,943
335,6547 1579,72
335,6607 1611,285
335,6667 1642,322
335,6727 1665,941
335,6787 1684,045
335,6847 1703,684
335,6907 1728,168
335,6967 1755,683
335,7027 1785,174
335,7087 1818,282
335,7147 1853,39
335,7207 1884,501
335,7267 1910,667
335,7327 1938,066
335,7387 1968,607
335,7448 1997,709
335,7508 2024,095
335,7567 2051,36
335,7628 2082,667
335,7688 2118,284
335,7748 2154,982
335,7808 2188,487
335,7868 2217,068
335,7928 2242,577
335,7988 2269,818
335,8048 2301,913
335,8108 2336,427
335,8168 2370,238
335,8228 2404,104
335,8288 2439,867
335,8348 2477,449
335,8409 2514,761
335,8468 2549,151
335,8528 2580,116
335,8589 2611,485
335,8649 2648,604
335,8709 2691,345
335,8769 2734,076
335,8829 2773,563
335,8889 2812,448
335,8949 2854,14
335,9009 2896,376
335,9069 2933,833
335,9129 2967,121
335,9189 3003,251
335,9249 3047,138
335,9309 3096,79
335,937 3145,543
335,9429 3187,552
335,9489 3224,744
335,955 3266,767
335,961 3317,728
