335 -12,16104
335,006 -17,35008
335,012 -20,83039
335,018 -22,2207
335,024 -22,2313
335,03 -21,28523
335,036 -18,75359
335,0421 -13,81322
335,048 -6,748806
335,054 1,034945
335,0601 8,211672
335,0661 14,2234
335,0721 18,71531
335,0781 21,01062
335,0841 20,73917
335,0901 18,77576
335,0961 17,1792
335,1021 18,19962
335,1081 23,12471
335,1141 31,43097
335,1201 40,88755
335,1261 49,08099
335,1321 55,13878
335,1382 59,72041
335,1441 63,55212
335,1501 66,71262
335,1562 69,44797
335,1622 72,90084
335,1682 78,3516
335,1742 85,73734
335,1802 93,31084
335,1862 99,06384
335,1922 102,5057
335,1982 104,9462
335,2042 108,0731
335,2102 112,4323
335,2162 117,4076
335,2222 122,4121
335,2282 127,4992
335,2342 132,673
335,2402 137,3353
335,2462 140,9501
335,2523 143,8795
335,2583 147,2745
335,2643 152,4061
335,2703 159,9103
335,2763 169,0352
335,2823 177,7421
335,2883 184,2203
335,2943 188,3704
335,3003 191,5681
335,3063 195,3096
335,3123 200,3288
335,3183 206,4088
335,3243 212,4863
335,3303 217,3237
335,3363 220,5451
335,3423 222,8435
335,3484 225,272
335,3543 228,987
335,3604 235,4392
335,3664 245,368
335,3724 257,045
335,3784 266,7756
335,3844 272,2725
335,3904 275,0819
335,3964 278,986
335,4024 286,4854
335,4084 297,4013
335,4144 310,0566
335,4204 322,5206
335,4264 332,9322
335,4324 340,0299
335,4384 344,0021
335,4445 346,4343
335,4504 349,3351
335,4565 354,3515
335,4625 362,2238
335,4685 372,107
335,4745 381,8008
335,4805 389,5932
335,4865 395,8065
335,4925 401,9499
335,4985 408,7289
335,5045 415,6779
335,5105 422,4334
335,5165 429,3019
335,5225 436,4372
335,5285 443,3893
335,5345 449,9637
335,5405 457,0005
335,5465 465,7088
335,5526 476,2906
335,5586 487,6338
335,5646 498,5855
335,5706 509,312
335,5766 520,9495
335,5826 533,8624
335,5886 546,8193
335,5946 558,2248
335,6006 567,666
335,6066 575,8641
335,6126 583,7014
335,6186 591,8403
335,6246 600,7308
335,6306 610,3221
335,6366 620,1348
335,6426 630,077
335,6487 640,7008
335,6547 652,2159
335,6607 663,8039
335,6667 674,4131
335,6727 683,7761
335,6787 692,2737
335,6847 700,4486
335,6907 709,2113
335,6967 719,8873
335,7027 733,1964
335,7087 748,317
335,7147 763,5253
335,7207 777,7495
335,7267 791,0993
335,7327 803,9148
335,7387 816,0105
335,7448 827,356
335,7508 838,9338
335,7567 852,0144
335,7628 866,564
335,7688 880,9384
335,7748 893,3584
335,7808 903,6528
335,7868 913,5859
335,7928 925,3152
335,7988 939,3086
335,8048 953,9294
335,8108 967,2765
335,8168 979,2059
335,8228 991,3063
335,8288 1005,102
335,8348 1020,579
335,8409 1036,474
335,8468 1051,844
335,8528 1067,221
335,8589 1083,999
335,8649 1102,729
335,8709 1122,409
335,8769 1141,635
335,8829 1159,986
335,8889 1177,867
335,8949 1195,29
335,9009 1211,446
335,9069 1225,746
335,9129 1239,047
335,9189 1253,406
335,9249 1270,284
335,9309 1289,22
335,937 1308,565
335,9429 1327,113
335,9489 1344,578
335,955 1361,063
335,961 1377,061
335,967 1393,831
335,973 1412,713
335,979 1433,707
335,985 1455,322
335,991 1476,155
335,997 1496,209
336,003 1516,498
336,009 1537,888
336,015 1560,61
336,021 1584,466
336,027 1609,108
336,033 1634,129
336,039 1659,088
336,045 1683,621
336,0511 1707,589
336,0571 1731,113
336,063 1754,458
336,0691 1777,851
336,0751 1801,404
336,0811 1825,333
336,0871 1850,29
336,0931 1877,201
336,0991 1906,441
336,1051 1937,142
336,1111 1967,447
336,1171 1995,59
336,1231 2021,1
336,1291 2045,209
336,1351 2069,963
336,1411 2096,76
336,1472 2125,779
336,1532 2156,571
336,1591 2188,597
336,1652 2221,015
336,1712 2252,667
336,1772 2283,079
336,1832 2313,222
336,1892 2344,597
336,1952 2377,708
336,2012 2412,098
336,2072 2447,721
336,2132 2485,264
336,2192 2524,826
336,2252 2565,096
336,2312 2604,332
336,2372 2641,606
336,2433 2676,819
336,2492 2710,204
336,2552 2742,594
336,2613 2775,897
336,2673 2812,442
336,2733 2853,384
336,2793 2897,877
336,2853 2943,96
336,2913 2990,125
336,2973 3035,998
336,3033 3081,908
336,3093 3128,136
336,3153 3174,438
336,3213 3220,115
336,3273 3264,727
336,3333 3308,94
336,3393 3354,316
336,3453 3401,781
336,3513 3450,368
336,3574 3498,047
336,3634 3543,94
336,3694 3589,472
336,3754 3637,335
336,3814 3689,375
336,3874 3745,187
336,3934 3802,555
336,3994 3859,543
336,4054 3916,202
336,4114 3974,015
336,4174 4033,934
336,4234 4095,522
336,4294 4157,849
336,4354 4220,557
336,4414 4283,989
336,4474 4348,686
336,4535 4414,884
336,4595 4482,374
336,4655 4550,924
336,4715 4620,813
336,4775 4692,721
336,4835 4767,08
336,4895 4843,54
336,4955 4920,8
336,5015 4996,986
336,5075 5070,817
336,5135 5142,894
336,5195 5215,622
336,5255 5291,459
336,5315 5371,201
336,5375 5453,958
336,5435 5538,358
336,5496 5623,4
336,5555 5708,713
336,5616 5794,752
336,5676 5882,599
336,5736 5972,949
336,5796 6065,239
336,5856 6158,118
336,5916 6250,859
336,5976 6344,248
336,6036 6440,045
336,6096 6539,573
336,6156 6642,652
336,6216 6747,786
336,6276 6853,354
336,6336 6958,765
336,6396 7064,761
336,6457 7173,039
336,6516 7285,584
336,6577 7403,493
336,6637 7525,68
336,6697 7649,138
336,6757 7771,252
336,6817 7891,846
336,6877 8012,701
336,6937 8135,409
336,6997 8259,981
336,7057 8385,272
336,7117 8510,301
336,7177 8635,097
336,7237 8760,58
336,7297 8887,986
336,7357 9018,332
336,7417 9152,034
336,7477 9288,863
336,7538 9428,521
336,7598 9571,454
336,7658 9718,82
336,7718 9871,065
336,7778 10026,66
336,7838 10182,93
336,7898 10338,26
336,7958 10492,87
336,8018 10647,6
336,8078 10802,9
336,8138 10959,48
336,8198 11118,77
336,8258 11282,05
336,8318 11449,34
336,8378 11619,83
336,8438 11792,89
336,8499 11968,03
336,8559 12144,32
336,8618 12321,02
336,8679 12498,35
336,8739 12677,2
336,8799 12858,11
336,8859 13040,98
336,8919 13225
336,8979 13408,25
336,9039 13588,38
336,9099 13764,42
336,9159 13938,15
336,9219 14113,17
336,9279 14292,59
336,9339 14477,47
336,9399 14666,76
336,946 14858,23
336,952 15050,1
336,9579 15242,66
336,964 15437,81
336,97 15636,33
336,976 15835,83
336,982 16032,06
336,988 16222,19
336,994 16406,55
337 16587,63
337,006 16768,04
337,012 16949,66
337,018 17133,18
337,024 17317,9
337,03 17502,35
337,036 17685,3
337,0421 17866,07
337,048 18044,27
337,054 18219,92
337,0601 18393,06
337,0661 18562,43
337,0721 18725,76
337,0781 18881,83
337,0841 19031,93
337,0901 19178,61
337,0961 19323,46
337,1021 19466,67
337,1081 19608,01
337,1141 19747,52
337,1201 19884,54
337,1261 20016,69
337,1321 20140,93
337,1382 20255,69
337,1441 20361,84
337,1501 20461,13
337,1562 20554,07
337,1622 20639,19
337,1682 20714,31
337,1742 20778,65
337,1802 20833,6
337,1862 20881,27
337,1922 20922,42
337,1982 20956,4
337,2042 20982,73
337,2102 21001,71
337,2162 21013,32
337,2222 21016,87
337,2282 21011,67
337,2342 20997,46
337,2402 20974,17
337,2462 20941,69
337,2523 20899,46
337,2583 20845,92
337,2643 20778,48
337,2703 20695
337,2763 20595,76
337,2823 20483,65
337,2883 20362,03
337,2943 20232,47
337,3003 20094,75
337,3063 19948,45
337,3123 19793,54
337,3183 19629,31
337,3243 19453,63
337,3303 19263,92
337,3363 19058,79
337,3423 18838,66
337,3484 18605,33
337,3543 18361,52
337,3604 18109,94
337,3664 17851,98
337,3724 17586,87
337,3784 17312,51
337,3844 17027,07
337,3904 16729,53
337,3964 16418,88
337,4024 16093,86
337,4084 15754,04
337,4144 15400,79
337,4204 15036,45
337,4264 14662,62
337,4324 14279,53
337,4384 13886,75
337,4445 13484,08
337,4504 13072,18
337,4565 12652,68
337,4625 12227,7
337,4685 11798,97
337,4745 11366,91
337,4805 10930,24
337,4865 10486,5
337,4925 10033,06
337,4985 9568,268
337,5045 9092,418
337,5105 8607,94
337,5165 8118,267
337,5225 7625,988
337,5285 7131,551
337,5345 6633,563
337,5405 6130,856
337,5465 5624,512
337,5526 5117,15
337,5586 4609,961
337,5646 4101,232
337,5706 3588,203
337,5766 3070,16
337,5826 2549,846
337,5886 2032,125
337,5946 1520,782
337,6006 1015,902
337,6066 513,8574
337,6126 9,48849
337,6186 -501,304
337,6246 -1019,899
337,6306 -1544,932
337,6366 -2073,799
337,6426 -2604,258
337,6487 -3134,864
337,6547 -3664,737
337,6607 -4193,785
337,6667 -4722,98
337,6727 -5253,496
337,6787 -5785,173
337,6847 -6316,31
337,6907 -6845,377
337,6967 -7372,529
337,7027 -7898,953
337,7087 -8424,965
337,7147 -8949,16
337,7207 -9469,193
337,7267 -9983,003
337,7327 -10489,45
337,7387 -10988,3
337,7448 -11480,25
337,7508 -11967,27
337,7567 -12452,5
337,7628 -12938,67
337,7688 -13425,93
337,7748 -13911,26
337,7808 -14390,6
337,7868 -14861,31
337,7928 -15322,64
337,7988 -15774,17
337,8048 -16214,54
337,8108 -16642,12
337,8168 -17056,46
337,8228 -17458,86
337,8288 -17851
337,8348 -18233,21
337,8409 -18604,79
337,8468 -18965,75
337,8528 -19317,51
337,8589 -19661,38
337,8649 -19996,65
337,8709 -20320,25
337,8769 -20627,88
337,8829 -20916,01
337,8889 -21183,65
337,8949 -21432,32
337,9009 -21664,37
337,9069 -21881,32
337,9129 -22083,41
337,9189 -22270,8
337,9249 -22444,69
337,9309 -22606,45
337,937 -22755,96
337,9429 -22892,03
337,9489 -23014,01
337,955 -23121,74
337,961 -23214,19
337,967 -23289,14
337,973 -23344,38
337,979 -23379,37
337,985 -23396,27
337,991 -23398,85
337,997 -23390,29
338,003 -23371,56
338,009 -23340,85
338,015 -23294,71
338,021 -23230,52
338,027 -23148,54
338,033 -23052,44
338,039 -22947,61
338,045 -22838,12
338,0511 -22724,53
338,0571 -22604,59
338,063 -22475,53
338,0691 -22335,62
338,0751 -22184,67
338,0811 -22023,84
338,0871 -21855,05
338,0931 -21680,41
338,0991 -21501,19
338,1051 -21316,6
338,1111 -21123,89
338,1171 -20920,34
338,1231 -20705,28
338,1291 -20480,57
338,1351 -20249,59
338,1411 -20016,02
338,1472 -19782,9
338,1532 -19551,68
338,1591 -19321,6
338,1652 -19090,2
338,1712 -18855,24
338,1772 -18616,39
338,1832 -18375,59
338,1892 -18135,7
338,1952 -17898,17
338,2012 -17661,69
338,2072 -17424
338,2132 -17184,99
338,2192 -16946,98
338,2252 -16711,52
338,2312 -16477,37
338,2372 -16242,33
338,2433 -16006,07
338,2492 -15770,42
338,2552 -15537,8
338,2613 -15309,88
338,2673 -15087,13
338,2733 -14868,88
338,2793 -14653,58
338,2853 -14439,3
338,2913 -14224,17
338,2973 -14007,13
338,3033 -13788,9
338,3093 -13572,07
338,3153 -13359,4
