
335 -7,95558
335,006 -9,808053
335,012 -11,60879
335,018 -13,21622
335,024 -14,50316
335,03 -15,37649
335,036 -15,78927
335,0421 -15,74269
335,048 -15,27938
335,054 -14,47156
335,0601 -13,40823
335,0661 -12,18401
335,0721 -10,88992
335,0781 -9,605131
335,0841 -8,388734
335,0901 -7,272096
335,0961 -6,254428
335,1021 -5,304555
335,1081 -4,370577
335,1141 -3,396086
335,1201 -2,338482
335,1261 -1,183444
335,1321 0,04936031
335,1382 1,310995
335,1441 2,536286
335,1501 3,660491
335,1562 4,634551
335,1622 5,435412
335,1682 6,070078
335,1742 6,573801
335,1802 7,003677
335,1862 7,429297
335,1922 7,922307
335,1982 8,546958
335,2042 9,353405
335,2102 10,37446
335,2162 11,6251
335,2222 13,10311
335,2282 14,7894
335,2342 16,64831
335,2402 18,62928
335,2462 20,67222
335,2523 22,71699
335,2583 24,71515
335,2643 26,63974
335,2703 28,48933
335,2763 30,28443
335,2823 32,05818
335,2883 33,84552
335,2943 35,67484
335,3003 37,56399
335,3063 39,51939
335,3123 41,53564
335,3183 43,59361
335,3243 45,65767
335,3303 47,67501
335,3363 49,58089
335,3423 51,31179
335,3484 52,82478
335,3543 54,11809
335,3604 55,24535
335,3664 56,31681
335,3724 57,48442
335,3784 58,91302
335,3844 60,74481
335,3904 63,06726
335,3964 65,89381
335,4024 69,16225
335,4084 72,75005
335,4144 76,50086
335,4204 80,25439
335,4264 83,8725
335,4324 87,25716
335,4384 90,35878
335,4445 93,1748
335,4504 95,73999
335,4565 98,11053
335,4625 100,3453
335,4685 102,4891
335,4745 104,5636
335,4805 106,5673
335,4865 108,4853
335,4925 110,3041
335,4985 112,0247
335,5045 113,6685
335,5105 115,2756
335,5165 116,8979
335,5225 118,5905
335,5285 120,4073
335,5345 122,3993
335,5405 124,6159
335,5465 127,1025
335,5526 129,8948
335,5586 133,0077
335,5646 136,425
335,5706 140,093
335,5766 143,9231
335,5826 147,8031
335,5886 151,6149
335,5946 155,2529
335,6006 158,6396
335,6066 161,7337
335,6126 164,5321
335,6186 167,0675
335,6246 169,404
335,6306 171,6311
335,6366 173,8564
335,6426 176,1957
335,6487 178,7585
335,6547 181,6325
335,6607 184,8688
335,6667 188,4743
335,6727 192,4119
335,6787 196,61
335,6847 200,9772
335,6907 205,4184
335,6967 209,8481
335,7027 214,1976
335,7087 218,4179
335,7147 222,4776
335,7207 226,3592
335,7267 230,0558
335,7327 233,5688
335,7387 236,909
