335 0,01199505
335,006 -0,4766234
335,012 -1,376655
335,018 -2,781484
335,024 -4,705304
335,03 -7,041073
335,036 -9,546776
335,0421 -11,87798
335,048 -13,66711
335,054 -14,62682
335,0601 -14,63962
335,0661 -13,79941
335,0721 -12,38985
335,0781 -10,8091
335,0841 -9,466117
335,0901 -8,677902
335,0961 -8,591616
335,1021 -9,149637
335,1081 -10,10866
335,1141 -11,11322
335,1201 -11,80605
335,1261 -11,93829
335,1321 -11,43572
335,1382 -10,39343
335,1441 -9,00689
335,1501 -7,479946
335,1562 -5,9579
335,1622 -4,510313
335,1682 -3,153131
335,1742 -1,879948
335,1802 -0,6801245
335,1862 0,4561774
335,1922 1,532927
335,1982 2,536791
335,2042 3,428067
335,2102 4,147256
335,2162 4,638839
335,2222 4,877791
335,2282 4,87997
335,2342 4,688823
335,2402 4,348368
335,2462 3,882506
335,2523 3,296818
335,2583 2,603645
335,2643 1,85417
335,2703 1,153557
335,2763 0,6437475
335,2823 0,4598846
335,2883 0,686205
335,2943 1,33953
335,3003 2,389215
335,3063 3,795417
335,3123 5,534248
335,3183 7,589391
335,3243 9,915873
335,3303 12,40329
335,3363 14,86894
335,3423 17,09624
335,3484 18,90982
335,3543 20,25618
335,3604 21,24869
335,3664 22,14549
335,3724 23,25974
335,3784 24,83908
335,3844 26,97183
335,3904 29,56347
335,3964 32,3866
335,4024 35,1686
335,4084 37,67027
335,4144 39,7284
335,4204 41,26568
335,4264 42,2865
335,4324 42,87207
335,4384 43,1716
335,4445 43,37812
335,4504 43,68328
335,4565 44,21974
335,4625 45,0124
335,4685 45,96281
335,4745 46,88162
335,4805 47,56368
335,4865 47,87777
335,4925 47,83071
335,4985 47,57528
335,5045 47,35862
335,5105 47,43765
335,5165 48,00024
335,5225 49,12157
335,5285 50,76304
335,5345 52,80243
335,5405 55,07618
335,5465 57,41609
335,5526 59,66973
335,5586 61,70295
335,5646 63,39339
335,5706 64,63164
335,5766 65,34401
335,5826 65,53652
335,5886 65,33742
335,5946 65,0042
335,6006 64,87296
335,6066 65,26086
335,6126 66,36526
335,6186 68,20936
335,6246 70,65826
335,6306 73,48895
335,6366 76,47179
335,6426 79,42459
335,6487 82,22533
335,6547 84,79625
335,6607 87,08249
335,6667 89,04319
335,6727 90,65814
335,6787 91,94142
335,6847 92,94959
335,6907 93,77704
335,6967 94,5394
335,7027 95,35289
335,7087 96,31886
335,7147 97,51822
335,7207 99,01357
335,7267 100,8513
335,7327 103,0566
335,7387 105,6213
335,7448 108,4918
335,7508 111,5679
335,7567 114,7188
