333 13,7841
333,008 18,21414
333,016 21,34967
333,024 23,05
333,032 23,99669
333,04 25,18047
333,048 27,36265
333,0561 30,83494
333,0641 35,43027
333,0721 40,68791
333,0801 46,13651
333,0881 51,54066
333,0961 56,90954
333,1041 62,31949
333,1121 67,80544
333,1201 73,39399
333,1281 79,09935
333,1361 84,82108
333,1441 90,34441
333,1522 95,54501
333,1602 100,5729
333,1682 105,7823
333,1762 111,4938
333,1842 117,8071
333,1922 124,5204
333,2002 131,1345
333,2082 137,0351
333,2162 141,8899
333,2242 146,0026
333,2322 150,2465
333,2402 155,5306
333,2483 162,2092
333,2563 169,9076
333,2643 177,8317
333,2723 185,255
333,2803 191,8925
333,2883 198,0592
333,2963 204,5226
333,3043 211,9979
333,3123 220,5672
333,3203 229,567
333,3283 238,1339
333,3363 245,9023
333,3443 253,1667
333,3524 260,4134
333,3604 267,7997
333,3684 275,1164
333,3764 282,1466
333,3844 288,9236
333,3924 295,6278
333,4004 302,3476
333,4084 309,0429
333,4164 315,7423
333,4244 322,6837
333,4324 330,1592
333,4404 338,194
333,4485 346,4438
333,4565 354,4724
333,4645 362,1119
333,4725 369,5337
333,4805 377,053
333,4885 384,9631
333,4965 393,5124
333,5045 402,8565
333,5125 412,8773
333,5205 423,0278
333,5285 432,4793
333,5365 440,6424
333,5446 447,7202
333,5526 454,7277
333,5605 462,7877
333,5686 472,2664
333,5766 482,5703
333,5846 492,7463
333,5926 502,224
333,6006 511,0634
333,6086 519,7123
333,6166 528,6295
333,6246 537,9757
333,6326 547,459
333,6407 556,4523
333,6487 564,362
333,6566 570,9636
333,6647 576,455
333,6727 581,2782
333,6807 585,8963
333,6887 590,6432
333,6967 595,7388
333,7047 601,5104
333,7127 608,6117
333,7207 617,8632
333,7287 629,6473
333,7367 643,3453
333,7448 657,4144
333,7527 670,1552
333,7608 680,6101
333,7688 688,9621
333,7768 696,271
333,7848 703,8639
333,7928 712,7689
333,8008 723,3672
333,8088 735,306
333,8168 747,7325
333,8248 759,7993
333,8328 771,1078
333,8409 781,7375
333,8488 791,9413
333,8568 801,9395
333,8649 811,9972
333,8729 822,4581
333,8809 833,425
333,8889 844,3863
333,8969 854,4277
333,9049 863,0771
333,9129 870,9507
333,9209 879,3868
333,9289 889,3316
333,937 900,6008
333,9449 912,2504
333,9529 923,6348
333,961 935,0825
333,969 947,5619
333,977 961,7034
333,985 977,107
333,993 992,5284
334,001 1006,711
334,009 1019,14
334,017 1030,184
334,025 1040,654
334,033 1051,175
334,041 1061,857
334,049 1072,414
334,0571 1082,591
334,0651 1092,555
334,0731 1102,932
334,0811 1114,407
334,0891 1127,133
334,0971 1140,477
334,1051 1153,466
334,1131 1165,606
334,1211 1177,305
334,1291 1189,459
334,1371 1202,591
334,1451 1216,369
334,1532 1229,912
334,1612 1242,501
334,1692 1254,065
334,1772 1265,142
334,1852 1276,516
334,1932 1288,82
334,2012 1302,3
334,2092 1316,809
334,2172 1331,99
334,2252 1347,504
334,2332 1363,149
334,2412 1378,829
334,2492 1394,403
334,2573 1409,57
334,2653 1423,928
334,2733 1437,269
334,2813 1449,958
334,2893 1462,969
334,2973 1477,384
334,3053 1493,653
334,3133 1511,316
334,3213 1529,517
334,3293 1547,821
334,3373 1566,436
334,3453 1585,619
334,3534 1605,01
334,3614 1623,69
334,3694 1640,857
334,3774 1656,324
334,3854 1670,405
334,3934 1683,552
334,4014 1696,245
334,4094 1709,105
334,4174 1722,851
334,4254 1738,015
