327 6,799175
327,012 8,554632
327,024 10,52988
327,036 12,70527
327,048 15,0589
327,0601 17,57064
327,0721 20,22553
327,0841 23,01599
327,0961 25,94255
327,1081 29,01347
327,1201 32,24342
327,1321 35,6517
327,1441 39,25996
327,1562 43,08926
327,1682 47,15635
327,1802 51,46915
327,1922 56,02206
327,2042 60,79221
327,2162 65,73775
327,2282 70,79952
327,2402 75,90628
327,2523 80,9831
327,2643 85,96153
327,2763 90,78949
327,2883 95,43892
327,3003 99,90966
327,3123 104,229
327,3243 108,4471
327,3363 112,6295
327,3484 116,8485
327,3604 121,1749
327,3724 125,6711
327,3844 130,387
327,3964 135,3585
327,4084 140,6082
327,4204 146,1474
327,4324 151,9794
327,4445 158,1019
327,4565 164,5088
327,4685 171,1894
327,4805 178,127
327,4925 185,2955
327,5045 192,6569
327,5165 200,1588
327,5285 207,7365
327,5405 215,3167
327,5526 222,8254
327,5646 230,1971
327,5766 237,3853
327,5886 244,37
327,6006 251,1625
327,6126 257,8048
327,6246 264,3645
327,6366 270,9248
327,6487 277,5716
327,6607 284,3801
327,6727 291,4031
327,6847 298,6625
327,6967 306,1461
327,7087 313,8101
327,7207 321,5856
327,7327 329,3895
327,7448 337,1357
327,7567 344,746
327,7688 352,1592
327,7808 359,3371
327,7928 366,2669
327,8048 372,9609
327,8168 379,4543
327,8288 385,7994
327,8409 392,0605
327,8528 398,3057
327,8649 404,6001
327,8769 410,9983
327,8889 417,5386
327,9009 424,2395
327,9129 431,0989
327,9249 438,0963
327,937 445,1985
327,9489 452,3668
327,961 459,5654
327,973 466,7694
327,985 473,9699
327,997 481,1769
328,009 488,4178
328,021 495,7325
328,033 503,1656
328,045 510,7579
328,0571 518,5366
328,0691 526,5094
328,0811 534,6609
328,0931 542,9543
328,1051 551,3359
328,1171 559,7438
328,1291 568,1166
328,1411 576,402
328,1532 584,5622
328,1652 592,5775
328,1772 600,446
328,1892 608,1821
328,2012 615,813
328,2132 623,3756
328,2252 630,913
328,2372 638,4714
328,2492 646,0967
328,2613 653,8315
328,2733 661,7118
328,2853 669,7633
328,2973 677,9995
328,3093 686,4203
328,3213 695,0131
328,3333 703,755
328,3453 712,6168
328,3574 721,567
328,3694 730,576
328,3814 739,6187
328,3934 748,6772
328,4054 757,7415
328,4174 766,8098
328,4294 775,8888
328,4414 784,9918
328,4535 794,137
328,4655 803,3441
328,4775 812,6297
328,4895 822,0028
328,5015 831,4612
328,5135 840,9899
328,5255 850,5618
328,5375 860,1422
328,5496 869,6951
328,5616 879,1901
328,5736 888,61
328,5856 897,9546
328,5976 907,2427
328,6096 916,5093
328,6216 925,8004
328,6336 935,1647
328,6457 944,6453
328,6577 954,2728
328,6697 964,0602
328,6817 974,0028
328,6937 984,0801
328,7057 994,2621
328,7177 1004,516
328,7297 1014,815
328,7417 1025,139
328,7538 1035,482
328,7658 1045,846
328,7778 1056,242
328,7898 1066,682
328,8018 1077,173
328,8138 1087,718
328,8258 1098,314
328,8378 1108,953
328,8499 1119,629
328,8618 1130,342
328,8739 1141,1
328,8859 1151,921
328,8979 1162,832
328,9099 1173,861
328,9219 1185,036
328,9339 1196,37
328,946 1207,862
