
336 9,778974
336,003 6,507912
336,006 -0,05691296
336,009 3,091744
336,012 -8,063986
336,015 2,806743
336,018 10,15087
336,021 2,553779
336,024 -4,967788
336,027 7,276134
336,03 14,53936
336,033 5,934249
336,036 9,823812
336,039 2,989228
336,0421 11,68399
336,045 -18,50466
336,048 -3,358119
336,0511 7,488729
336,054 5,421471
336,0571 12,03535
336,0601 -6,33806
336,063 19,10696
336,0661 2,942177
336,0691 15,19467
336,0721 14,45961
336,0751 7,735088
336,0781 8,015949
336,0811 -5,154455
336,0841 8,248228
336,0871 17,92562
336,0901 28,43343
336,0931 6,62532
336,0961 1,569163
336,0991 12,63752
336,1021 10,55091
336,1051 14,66235
336,1081 11,19684
336,1111 9,269729
336,1141 4,944426
336,1171 33,85189
336,1201 14,8264
336,1231 17,6496
336,1261 20,37224
336,1291 19,19374
336,1321 11,53475
336,1351 26,89042
336,1382 18,44135
336,1411 10,26345
336,1441 23,23483
336,1472 18,48658
336,1501 25,18895
336,1532 35,14738
336,1562 17,92048
336,1591 28,87533
336,1622 29,81982
336,1652 41,99305
336,1682 20,6878
336,1712 25,63775
336,1742 29,21987
336,1772 53,75936
336,1802 21,90457
336,1832 41,94438
336,1862 33,92693
336,1892 26,1874
336,1922 41,47412
336,1952 32,5215
336,1982 35,15087
336,2012 47,9936
336,2042 28,02397
336,2072 43,02787
336,2102 19,87899
336,2132 56,09877
336,2162 49,04727
336,2192 57,05721
336,2222 47,2288
336,2252 61,65882
336,2282 39,78777
336,2312 54,69128
336,2342 33,30799
336,2372 47,44253
336,2402 40,09579
336,2433 55,82241
336,2462 49,39985
336,2492 40,60568
336,2523 36,59398
336,2552 67,22698
336,2583 65,13943
336,2613 38,89102
336,2643 64,08686
336,2673 57,56625
336,2703 50,10521
336,2733 65,16906
336,2763 60,40026
336,2793 42,80609
336,2823 45,48501
336,2853 73,60757
336,2883 52,984
336,2913 61,11752
336,2943 75,30562
336,2973 59,47861
336,3003 69,91457
336,3033 68,02503
336,3063 73,02759
336,3093 61,68175
336,3123 77,51694
336,3153 71,55177
336,3183 72,50067
336,3213 76,46298
336,3243 72,70171
336,3273 76,50342
336,3303 81,41949
336,3333 76,37056
336,3363 69,53294
336,3393 72,50557
336,3423 85,75156
336,3453 86,97247
336,3484 90,65259
336,3513 74,6795
336,3543 95,32018
336,3574 98,06106
336,3604 77,13818
336,3634 114,7442
336,3664 83,87901
336,3694 84,69329
336,3724 101,0618
336,3754 98,59113
336,3784 99,70403
336,3814 97,19517
336,3844 88,39998
336,3874 110,0475
336,3904 92,97056
336,3934 97,15645
336,3964 121,9982
336,3994 111,9787
336,4024 117,6656
336,4054 110,0844
336,4084 121,4659
336,4114 106,956
336,4144 111,8684
336,4174 115,543
336,4204 116,7148
336,4234 129,5489
336,4264 117,4368
336,4294 121,698
336,4324 137,4026
336,4354 121,4019
336,4384 142,3048
336,4414 112,5477
336,4445 129,6781
336,4474 129,0712
336,4504 134,6164
336,4535 142,107
336,4565 134,316
336,4595 120,689
336,4625 134,9663
336,4655 156,5503
336,4685 133,4272
336,4715 155,2321
336,4745 151,0208
336,4775 144,3278
336,4805 149,1797
336,4835 143,0583
336,4865 147,5722
336,4895 155,8698
336,4925 142,7292
336,4955 167,0788
336,4985 169,1249
336,5015 168,382
336,5045 170,5607
336,5075 170,4555
336,5105 184,5373
336,5135 191,9481
336,5165 183,3611
336,5195 177,6476
336,5225 189,9593
336,5255 201,6209
336,5285 171,1612
336,5315 176,4502
336,5345 203,3427
336,5375 197,2371
336,5405 199,3625
336,5435 179,191
336,5465 200,5031
336,5496 203,432
336,5526 198,3398
336,5555 195,0214
336,5586 194,4638
336,5616 202,822
336,5646 201,768
336,5676 221,0209
336,5706 220,0671
336,5736 214,4929
336,5766 221,5934
336,5796 227,1921
336,5826 237,7764
336,5856 240,6764
336,5886 238,8358
336,5916 239,8493
336,5946 236,6306
336,5976 238,7892
336,6006 246,3662
336,6036 249,8517
336,6066 258,4329
336,6096 276,5995
336,6126 261,2476
336,6156 268,8365
336,6186 258,3046
336,6216 275,2814
336,6246 278,8401
336,6276 284,3348
336,6306 275,332
336,6336 283,177
336,6366 286,0252
336,6396 298,7288
336,6426 288,5765
336,6457 300,4343
336,6487 294,2112
336,6516 320,0612
336,6547 313,7408
336,6577 312,6537
336,6607 309,5526
336,6637 317,3346
336,6667 316,4099
336,6697 303,1893
336,6727 330,6963
336,6757 344,9355
336,6787 347,2998
336,6817 345,5492
336,6847 357,4772
336,6877 354,7704
336,6907 360,4023
336,6937 379,1378
336,6967 353,0267
336,6997 386,9118
336,7027 379,3136
336,7057 374,8792
336,7087 377,218
336,7117 384,085
336,7147 402,1731
336,7177 390,8319
336,7207 420,9225
336,7237 408,7351
336,7267 423,7148
336,7297 413,9106
336,7327 415,9619
336,7357 425,2398
336,7387 425,1441
336,7417 437,2105
336,7448 453,2667
336,7477 446,1404
336,7508 447,4748
336,7538 460,3259
336,7567 450,5438
336,7598 478,8128
336,7628 497,248
336,7658 479,9742
336,7688 485,54
336,7718 511,3127
336,7748 499,7426
336,7778 523,8802
336,7808 512,0368
336,7838 524,7403
336,7868 534,4225
336,7898 535,0957
336,7928 551,7885
336,7958 533,9244
336,7988 553,1323
336,8018 563,6537
336,8048 572,873
336,8078 596,3643
336,8108 588,8689
336,8138 587,1319
336,8168 605,7347
336,8198 629,7688
336,8228 638,8202
336,8258 619,5432
336,8288 618,6017
336,8318 641,1111
336,8348 647,4444
336,8378 665,6888
336,8409 671,7456
336,8438 667,3393
336,8468 682,5541
336,8499 688,6136
336,8528 706,9648
336,8559 726,399
336,8589 726,829
336,8618 737,8824
336,8649 742,8229
336,8679 755,3392
336,8709 778,3459
336,8739 789,0612
336,8769 783,343
336,8799 806,4451
336,8829 809,6597
336,8859 817,9198
336,8889 826,0526
336,8919 846,5016
336,8949 858,9202
336,8979 857,2559
336,9009 887,3953
336,9039 897,3602
336,9069 916,4557
336,9099 947,9482
336,9129 941,7224
336,9159 952,6605
336,9189 968,7994
336,9219 992,5922
336,9249 993,1706
336,9279 1005,103
336,9309 1024,386
336,9339 1031,534
336,937 1058,007
336,9399 1084,197
336,9429 1081,292
336,946 1104,581
336,9489 1146,335
336,952 1149,297
336,955 1152,748
336,9579 1179,877
336,961 1198,897
336,964 1239,395
336,967 1234,877
336,97 1253,293
336,973 1292,038
336,976 1308,697
336,979 1308,072
336,982 1338,922
336,985 1375,567
336,988 1391,956
336,991 1409,179
336,994 1430,549
336,997 1441,326
337 1496,556
337,003 1504,301
337,006 1530,09
337,009 1552,702
337,012 1586,027
337,015 1620,441
337,018 1644,773
337,021 1664,487
337,024 1708,151
337,027 1723,653
337,03 1758,274
337,033 1800,42
337,036 1830,317
337,039 1845,68
337,0421 1891,547
337,045 1942,942
337,048 1954,967
337,0511 1982,086
337,054 2039,031
337,0571 2072,355
337,0601 2110,433
337,063 2145,253
337,0661 2172,442
337,0691 2218,273
337,0721 2245,708
337,0751 2307,497
337,0781 2344,564
337,0811 2387,249
337,0841 2441,587
337,0871 2500,81
337,0901 2546,671
337,0931 2587,399
337,0961 2642,97
337,0991 2712,871
337,1021 2748,728
337,1051 2799,833
337,1081 2869,975
337,1111 2917,461
337,1141 2990,883
337,1171 3038,965
337,1201 3118,589
337,1231 3162,217
337,1261 3247,975
337,1291 3310,431
337,1321 3369,593
337,1351 3474,291
337,1382 3508,68
337,1411 3603,847
337,1441 3679,939
337,1472 3773,481
337,1501 3844,655
337,1532 3949,103
337,1562 4048,639
337,1591 4125,394
337,1622 4199,356
337,1652 4311,003
337,1682 4434,42
337,1712 4507,104
337,1742 4644,18
337,1772 4743,501
337,1802 4840,587
337,1832 4969,475
337,1862 5061,29
337,1892 5199,924
337,1922 5353,123
337,1952 5487,691
337,1982 5609,625
337,2012 5769,713
337,2042 5923,934
