336 3,118324
336,003 16,88168
336,006 -3,689637
336,009 6,216513
336,012 15,48013
336,015 28,05415
336,018 -2,569321
336,021 4,355646
336,024 8,147541
336,027 -7,158428
336,03 -4,012743
336,033 10,54572
336,036 2,176168
336,039 10,557
336,0421 3,641841
336,045 13,97051
336,048 7,87502
336,0511 12,34484
336,054 -4,45032
336,0571 14,22564
336,0601 7,525969
336,063 16,61671
336,0661 12,1
336,0691 22,44669
336,0721 20,34851
336,0751 -8,722172
336,0781 16,24856
336,0811 15,38798
336,0841 18,83596
336,0871 16,56021
336,0901 14,77483
336,0931 9,322673
336,0961 2,191314
336,0991 -0,3293862
336,1021 21,34841
336,1051 34,43507
336,1081 27,57042
336,1111 14,1549
336,1141 25,97945
336,1171 27,01333
336,1201 6,871563
336,1231 30,14561
336,1261 25,0901
336,1291 11,82117
336,1321 27,51791
336,1351 36,40765
336,1382 20,48222
336,1411 26,45417
336,1441 27,44438
336,1472 28,38273
336,1501 29,30295
336,1532 40,79557
336,1562 26,6938
336,1591 16,30501
336,1622 30,93105
336,1652 15,36975
336,1682 35,9539
336,1712 30,12305
336,1742 25,95567
336,1772 21,95286
336,1802 29,96467
336,1832 41,20024
336,1862 32,19742
336,1892 39,04662
336,1922 45,67837
336,1952 36,0204
336,1982 38,70188
336,2012 53,28245
336,2042 31,34585
336,2072 38,78731
336,2102 47,04997
336,2132 37,28786
336,2162 48,54486
336,2192 56,61858
336,2222 54,13369
336,2252 58,34657
336,2282 52,04524
336,2312 47,72866
336,2342 53,19239
336,2372 65,16809
336,2402 52,68335
336,2433 60,21341
336,2462 59,68794
336,2492 65,25254
336,2523 55,24644
336,2552 46,83015
336,2583 61,66913
336,2613 52,50199
336,2643 65,35822
336,2673 66,1407
336,2703 75,75098
336,2733 58,30846
336,2763 62,1243
336,2793 57,93895
336,2823 61,76889
336,2853 76,507
336,2883 69,89208
336,2913 72,4381
336,2943 84,74414
336,2973 79,42654
336,3003 79,86369
336,3033 87,21284
336,3063 87,35712
336,3093 73,6144
336,3123 91,89097
336,3153 93,86753
336,3183 67,72813
336,3213 68,7523
336,3243 113,4059
336,3273 105,482
336,3303 79,78355
336,3333 92,61853
336,3363 91,04172
336,3393 86,1242
336,3423 96,95941
336,3453 79,06915
336,3484 95,24137
336,3513 87,84423
336,3543 94,35632
336,3574 96,50507
336,3604 86,57311
336,3634 84,02996
336,3664 103,1953
336,3694 104,0691
336,3724 92,64352
336,3754 104,4128
336,3784 120,7978
336,3814 111,0268
336,3844 104,5172
336,3874 112,5432
336,3904 114,6296
336,3934 128,5959
336,3964 124,379
336,3994 126,7305
336,4024 125,2961
336,4054 120,579
336,4084 127,8463
336,4114 127,0079
336,4144 112,5398
336,4174 135,8252
336,4204 141,6786
336,4234 137,1264
336,4264 141,065
336,4294 135,1425
336,4324 135,5371
336,4354 143,1886
336,4384 156,752
336,4414 130,5967
336,4445 156,5782
336,4474 150,4225
336,4504 140,2947
336,4535 168,9832
336,4565 161,2107
336,4595 164,3241
336,4625 153,5355
336,4655 153,2267
336,4685 174,2561
336,4715 173,0888
336,4745 174,2496
336,4775 173,5758
336,4805 180,7442
336,4835 169,4042
336,4865 178,0723
336,4895 167,0724
336,4925 183,1527
336,4955 182,2206
336,4985 190,5261
336,5015 189,4831
336,5045 202,5899
336,5075 197,1347
336,5105 208,5378
336,5135 198,875
336,5165 206,0297
336,5195 204,6113
336,5225 211,5639
336,5255 220,5598
336,5285 211,1237
336,5315 214,0313
336,5345 198,5512
336,5375 230,1751
336,5405 221,5627
336,5435 226,8746
336,5465 220,3671
336,5496 241,2119
336,5526 227,985
336,5555 240,473
336,5586 238,6647
336,5616 233,488
336,5646 251,4938
336,5676 267,6895
336,5706 266,5459
336,5736 261,079
336,5766 266,8675
336,5796 273,5476
336,5826 259,8409
336,5856 272,4265
336,5886 278,9235
336,5916 262,4795
336,5946 265,4049
336,5976 296,9931
336,6006 288,4027
336,6036 296,9947
336,6066 325,1257
336,6096 287,8431
336,6126 299,4578
336,6156 305,4585
336,6186 310,9095
336,6216 333,9698
336,6246 312,9335
336,6276 315,8517
336,6306 336,028
336,6336 337,2733
336,6366 345,9091
336,6396 351,0712
336,6426 361,0285
336,6457 348,2908
336,6487 356,9618
336,6516 348,9373
336,6547 364,2089
336,6577 345,9825
336,6607 374,809
336,6637 383,1187
336,6667 383,4891
336,6697 382,9111
336,6727 384,2781
336,6757 391,9415
336,6787 406,9054
336,6817 407,7375
336,6847 428,6084
336,6877 411,6986
336,6907 423,2967
336,6937 424,6367
336,6967 450,4174
336,6997 444,0688
336,7027 440,2645
336,7057 454,0107
336,7087 470,0937
336,7117 452,8309
336,7147 473,6674
336,7177 470,2393
336,7207 484,5116
336,7237 474,1007
336,7267 494,9229
336,7297 497,3441
336,7327 503,3356
336,7357 506,4885
336,7387 518,0676
336,7417 522,0137
336,7448 553,4286
336,7477 534,9986
336,7508 550,8303
336,7538 549,6925
336,7567 551,3221
336,7598 563,7206
336,7628 591,7563
336,7658 579,5593
336,7688 578,2028
336,7718 589,8391
336,7748 589,5872
336,7778 604,5153
336,7808 622,2586
336,7838 628,9114
336,7868 639,665
336,7898 656,1605
336,7928 676,7197
336,7958 664,8912
336,7988 676,4909
336,8018 689,0587
336,8048 679,4405
336,8078 698,5548
336,8108 713,8612
336,8138 723,1528
336,8168 725,5561
336,8198 739,9066
336,8228 744,8279
336,8258 745,1051
336,8288 773,1489
336,8318 778,543
336,8348 780,8874
336,8378 805,4055
336,8409 808,2479
336,8438 813,7326
336,8468 834,0556
336,8499 850,1306
336,8528 859,2792
336,8559 879,1518
336,8589 880,3889
336,8618 905,7076
336,8649 911,2939
336,8679 918,597
336,8709 921,9103
336,8739 953,3519
336,8769 954,6312
336,8799 982,9139
336,8829 986,4071
336,8859 989,0153
336,8889 1010,562
336,8919 1020,007
336,8949 1062,284
336,8979 1062,249
336,9009 1074,231
336,9039 1114,699
336,9069 1108,338
336,9099 1131,943
336,9129 1158,382
336,9159 1160,006
336,9189 1185,695
336,9219 1215,181
336,9249 1220,613
336,9279 1227,046
336,9309 1256,2
336,9339 1281,193
336,937 1303,153
336,9399 1320,471
336,9429 1347,434
336,946 1365,622
336,9489 1407,564
336,952 1424,508
336,955 1435,116
336,9579 1467,864
336,961 1468,534
336,964 1506,755
336,967 1532,178
336,97 1555,448
336,973 1579,856
336,976 1597,975
336,979 1635,986
336,982 1660,957
336,985 1684,985
336,988 1710,415
336,991 1752,202
