336 -7,883062
336,003 4,222192
336,006 5,81203
336,009 4,092333
336,012 4,955149
336,015 -0,348894
336,018 9,019782
336,021 -13,97492
336,024 -8,506545
336,027 9,718024
336,03 -0,3519318
336,033 8,458948
336,036 9,945082
336,039 19,35415
336,0421 13,5612
336,045 11,37673
336,048 17,39204
336,0511 12,3941
336,054 5,44624
336,0571 24,78715
336,0601 13,61145
336,063 9,349812
336,0661 19,15092
336,0691 23,98673
336,0721 13,67429
336,0751 18,80958
336,0781 16,62546
336,0811 24,73011
336,0841 27,19291
336,0871 20,34502
336,0901 27,07754
336,0931 26,03252
336,0961 22,25498
336,0991 47,10726
336,1021 52,97012
336,1051 29,92527
336,1081 27,13436
336,1111 25,13711
336,1141 18,80542
336,1171 28,26189
336,1201 47,85752
336,1231 28,71286
336,1261 38,1578
336,1291 33,48672
336,1321 28,5025
336,1351 29,4969
336,1382 42,36947
336,1411 54,38287
336,1441 38,55416
336,1472 56,51699
336,1501 43,29797
336,1532 42,83361
336,1562 58,67321
336,1591 47,86757
336,1622 52,03357
336,1652 60,64677
336,1682 59,04142
336,1712 49,32113
336,1742 54,46944
336,1772 51,13333
336,1802 70,64277
336,1832 54,98268
336,1862 82,35321
336,1892 66,96201
336,1922 63,7952
336,1952 72,58342
336,1982 68,03999
336,2012 76,90918
336,2042 79,75112
336,2072 78,79748
336,2102 79,06097
336,2132 78,75826
336,2162 80,13348
336,2192 71,15352
336,2222 68,35384
336,2252 80,25428
336,2282 79,5911
336,2312 85,0599
336,2342 84,84478
336,2372 104,2215
336,2402 96,41367
336,2433 103,994
336,2462 98,93977
336,2492 88,29548
336,2523 90,42676
336,2552 104,5463
336,2583 100,6509
336,2613 118,9526
336,2643 104,47
336,2673 111,8674
336,2703 127,6555
336,2733 114,1191
336,2763 116,1143
336,2793 114,3363
336,2823 109,3343
336,2853 110,0669
336,2883 121,4659
336,2913 131,1333
336,2943 133,6292
336,2973 127,123
336,3003 139,7761
336,3033 148,5364
336,3063 130,9223
336,3093 148,0103
336,3123 127,8122
336,3153 160,6527
336,3183 135,502
336,3213 147,0145
336,3243 160,0012
336,3273 167,2387
336,3303 144,0444
336,3333 158,2063
336,3363 154,9044
336,3393 170,5538
336,3423 183,2511
336,3453 165,1669
336,3484 162,3279
336,3513 180,2495
336,3543 178,3092
336,3574 166,1105
336,3604 177,9826
336,3634 176,8794
336,3664 195,0086
336,3694 197,2088
336,3724 187,1623
336,3754 188,3909
336,3784 191,1145
336,3814 217,7827
336,3844 204,8402
336,3874 218,68
336,3904 208,2053
336,3934 224,3398
336,3964 220,1404
336,3994 229,3202
336,4024 224,4744
336,4054 236,5952
336,4084 235,6599
336,4114 220,3942
336,4144 237,1469
336,4174 240,6353
